Transaction_ID,Patient_ID,Operation,Start_Time,End_Time,Latency_Seconds,Status
76,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524742.230313586,1771524742.336810186,.106496600,SUCCESS
77,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524742.451696485,1771524742.565198235,.113501750,SUCCESS
78,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524742.680073634,1771524742.841565096,.161491462,SUCCESS
79,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524742.958555670,1771524743.079828898,.121273228,SUCCESS
80,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524743.196188749,1771524743.297959281,.101770532,SUCCESS
81,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524743.412381763,1771524743.537594831,.125213068,SUCCESS
82,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524743.653390863,1771524743.762991274,.109600411,SUCCESS
83,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524743.879244121,1771524743.995385765,.116141644,SUCCESS
84,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524744.111651714,1771524744.218160214,.106508500,SUCCESS
85,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524744.336165425,1771524744.444238781,.108073356,SUCCESS
86,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524744.558343399,1771524744.661077716,.102734317,SUCCESS
87,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524744.774750128,1771524744.930985681,.156235553,SUCCESS
88,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524745.046003542,1771524745.152576698,.106573156,SUCCESS
89,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524745.267209845,1771524745.374793438,.107583593,SUCCESS
90,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524745.489391884,1771524745.606024404,.116632520,SUCCESS
91,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524745.721632086,1771524745.837103864,.115471778,SUCCESS
92,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524745.952425936,1771524746.061922097,.109496161,SUCCESS
93,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524746.178289008,1771524746.292021122,.113732114,SUCCESS
94,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524746.411153933,1771524746.511422360,.100268427,SUCCESS
